Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
26.txt	3	25	52.71	88.48	43.37	91.14	25.00	12.00	80.00	64.00	8.00	8.00	0.00	8.00	0.00	0.00	0.00	0.00	8.00	16.00	8.00	12.00	12.00	4.00	12.00	0.00	0.00	4.00	0.00	8.00	4.00	4.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	4.00	0.00	0.00	12.00	8.00	0.00	0.00	4.00	0.00	12.00	0.00	4.00	20.00	4.00	4.00	16.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	0.00	4.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00
26.txt	4	14	83.81	98.33	1.00	99.00	7.00	28.57	78.57	64.29	14.29	7.14	0.00	0.00	7.14	0.00	0.00	7.14	14.29	14.29	14.29	7.14	0.00	0.00	28.57	0.00	0.00	7.14	0.00	0.00	7.14	7.14	0.00	0.00	0.00	0.00	14.29	0.00	0.00	0.00	0.00	21.43	0.00	0.00	0.00	14.29	7.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.29	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.14	0.00	0.00	0.00	0.00	7.14	0.00	0.00	0.00	0.00	0.00	0.00
26.txt	5	20	38.60	69.14	74.76	1.00	20.00	10.00	90.00	60.00	20.00	15.00	10.00	5.00	0.00	0.00	0.00	5.00	5.00	20.00	15.00	5.00	10.00	0.00	30.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	10.00	0.00	5.00	5.00	10.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	5.00	0.00	5.00	5.00	0.00	0.00	0.00	25.00	5.00	5.00	10.00	5.00	0.00	15.00	10.00	0.00	15.00	0.00	15.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	5.00	0.00	0.00	0.00	0.00	5.00	0.00	10.00	0.00	0.00
26.txt	6	18	93.26	71.09	4.97	25.77	18.00	5.56	88.89	55.56	11.11	11.11	5.56	0.00	5.56	0.00	0.00	0.00	11.11	22.22	11.11	0.00	11.11	0.00	16.67	16.67	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	11.11	0.00	5.56	5.56	0.00	0.00	0.00	5.56	5.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.22	0.00	11.11	0.00	0.00	11.11	5.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	0.00	5.56	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00
26.txt	7	13	65.46	77.92	17.46	25.77	13.00	0.00	84.62	61.54	30.77	23.08	15.38	0.00	7.69	0.00	0.00	7.69	7.69	15.38	0.00	0.00	7.69	0.00	15.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.38	0.00	0.00	0.00	0.00	15.38	0.00	7.69	7.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.38	0.00	7.69	7.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.txt	1	29	60.46	91.60	1.00	99.00	9.67	10.34	79.31	44.83	17.24	10.34	6.90	0.00	3.45	0.00	0.00	6.90	6.90	6.90	13.79	0.00	0.00	0.00	17.24	0.00	0.00	0.00	0.00	0.00	10.34	10.34	0.00	0.00	0.00	0.00	17.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.45	0.00	3.45	0.00	0.00	0.00	0.00	0.00	0.00	6.90	6.90	0.00	3.45	0.00	0.00	0.00	24.14	0.00	0.00	0.00	0.00	0.00	6.90	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	0.00	3.45	0.00	17.24	0.00	10.34	0.00	0.00	6.90	0.00	0.00	0.00	0.00	0.00	0.00
32.txt	2	43	37.04	75.74	77.74	69.60	14.33	6.98	88.37	62.79	20.93	11.63	6.98	0.00	4.65	0.00	0.00	9.30	6.98	13.95	16.28	2.33	4.65	2.33	18.60	6.98	4.65	2.33	0.00	0.00	6.98	4.65	2.33	0.00	0.00	0.00	16.28	0.00	0.00	0.00	0.00	9.30	2.33	0.00	0.00	2.33	0.00	4.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.65	2.33	0.00	2.33	0.00	2.33	2.33	13.95	2.33	11.63	0.00	6.98	4.65	0.00	0.00	0.00	0.00	0.00	0.00	4.65	0.00	0.00	2.33	2.33	0.00	18.60	0.00	11.63	0.00	0.00	4.65	0.00	0.00	0.00	2.33	0.00	0.00
32.txt	3	11	32.58	50.00	2.40	25.77	11.00	27.27	90.91	45.45	9.09	9.09	9.09	0.00	0.00	0.00	0.00	0.00	0.00	9.09	18.18	0.00	9.09	0.00	27.27	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	27.27	9.09	0.00	9.09	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	9.09	0.00	9.09	0.00	0.00	0.00	18.18	0.00	0.00	0.00	0.00	0.00	18.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.txt	4	20	87.27	15.86	99.00	25.77	20.00	5.00	100.00	55.00	20.00	15.00	15.00	0.00	0.00	0.00	0.00	5.00	0.00	25.00	5.00	0.00	5.00	0.00	15.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	5.00	0.00	5.00	0.00	5.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	5.00	5.00	0.00	0.00	0.00	15.00	0.00	20.00	10.00	5.00	5.00	5.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.txt	5	12	1.00	79.76	74.76	99.00	12.00	8.33	91.67	75.00	33.33	25.00	16.67	0.00	8.33	0.00	0.00	8.33	0.00	8.33	16.67	16.67	8.33	0.00	16.67	8.33	0.00	0.00	0.00	0.00	8.33	8.33	0.00	0.00	0.00	0.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	8.33	0.00	8.33	0.00	0.00	0.00	16.67	0.00	8.33	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
