Word	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	
often	X												X																				X				X																					X			X												
inquiry																												X					X	X																																							
800numbers																																																																									
assigned																																																														X											
representatives																																																																									
always																																	X					X																				X			X												
courteous																																																																									
hows	X												X	X		X			X														X		X																					X																	
response																																	X		X																																						
time																																																										X			X												
currently																																																								X		X			X												
using																X																	X		X																																						
ever	X												X																				X					X																				X			X												
found																X																	X	X																					X																		
inaccuracies																																																																									
information																																	X	X																																							
weve	X	X	X		X							X				X												X																					X	X					X																		
provided																																																							X																		
suggestions																												X																																													
improving																						X	X																										X		X																						
willing																	X					X																											X				X																				
fill																																																										X		X													
periodic																																																										X			X												
questionnaires																																																																									
send																X												X																												X		X	X														
course																																																														X											
henry																																																																									
mckinsey																																																																									
regarding	X										X																																																														
clients																																																														X											
3679654																				X																																																					
client																																																														X											
interested																						X	X																																																		
social																												X																					X	X																							
35939585																				X																																																					
birth																																																										X			X												
date																												X		X																												X			X												
2031960																				X																																																					
wells																																																																									
fargo																																																																									
reported																																																														X											
nsf																																																																									
1998																				X																																																					
amount																					X																																																				
2066																				X																																																					
activities																																																																									
inquiries																												X					X	X																																							
lets	X	X	X		X											X												X																					X	X						X																	
two																				X																																																					
both																					X																																					X		X													
last																																																										X			X												
month																																																										X			X												
third																				X																																																					
united																																																																									
chicago																																																																									
schenectady																																																																									
mutual																																																																									
investments																																																														X			X								
york																																																																									
state																																																																									
added																					X																												X				X		X																		
stevie																																																																									
division																																																																									
company																												X																																		X											
publishes																																																														X											
distributes																																																																									
printed																																																																									
materials																																																																									
test																																																														X											
directory																																																	X			X										X											
reasons																																	X	X	X																																						
deliver																																																										X	X														
pick																X																	X		X																					X																	
old																																																										X			X												
delivery																																																										X	X														
guy																												X		X		X																																									
running																X																																										X	X				X										
wanna	X											X																					X			X																					X											X					
outside	X										X																																															X		X													
swing																X																																								X		X	X														
yours	X	X	X			X																						X																																													
drop																																																										X	X														
promised																						X	X										X					X																																			
engineering																																																																									
touch																																								X			X																														
remember																X																	X	X																					X																		
s																																																																									
archer																																																																									
sam																																																																									
davidson																																																																									
sth																																																																									
100																				X																																																					
hey																												X																																								X					
fedex																																																																									
heart																																												X	X																												
stent																																																																									
sth100																																																																									
project																																																														X											
idea																																	X	X																																							
leader																												X																					X		X	X										X											
jerry																																																																									
mendel																																																																									
23954948905																				X																																																					
bill																																																																	X								
thomas																																																																									
told																X												X																											X																		
spec																																																																									
ready																						X	X																																																		
review																																																														X											
servers																																																																									
does	X											X				X																																								X																	
rm22																																																																									
gm16																																																																									
list																																																																									
addresses																																																																									
distribution																																																																									
fax																																																														X											
blink																																																																									
another	X	X							X												X																																																				
bit																					X																																																				
consultant																												X																																		X											
bought																X																																							X										X								
laptop																																																														X											
steve																																																																									
ramon																																																																									
perez																																																																									
courtesy																																																																									
down	X										X																																						X			X						X		X													
worm																																																																									
wipe																																																																									
drives																																																								X		X	X														
backup																																																																									
files																																																																									
wednesday																																																										X			X												
thursday																																																										X			X												
lucky																	X					X	X										X				X												X				X																				
unacceptable																						X		X									X	X															X			X																					
sit																X																																								X		X		X													
terminal																																																																									
clear																	X																X					X		X	X																																
everybody	X	X							X																			X					X					X																																			
far																	X																																									X		X													
fun																	X					X	X																																								X										
pissed																						X		X		X																		X	X																							X	X				
tight																	X																							X			X																														
counting																																																																									
part																					X																																																				
understand																X																	X	X																						X																	
still	X												X																																													X			X												
before	X										X						X	X																																								X			X												
startedhow																																																																									
say																X												X												X		X														X																	
tuesday																																																										X			X												
monday																																																										X			X												
okaylet																																																																									
cut																						X		X																																																	
corners																																																										X		X													
save																X						X	X																																	X																	
timeill																																																										X			X												
whos	X	X							X							X			X									X																												X																	
supervisor																																																	X			X										X											
show																																								X	X																																
file																																																																									
ah																																																																				X			X	X	
janice																																																																									
wasting																																																																									
real																																																																									
shortcut																																																																									
hurry																																																										X			X												
gonna																X																																									X	X	X									X		X			
d																																																																									
underscore																																																																									
cramercramer																																																																									
pelican1																																																																									
human																												X																																													
resources																																																														X											
andrea																																																																									
calhoun																																																																									
howre	X												X	X		X			X														X		X																					X																	
developing																																																														X											
seminar																																																														X											
round																	X																							X	X		X																														
try																X																	X				X												X		X					X																	
hires																																																														X											
past																																																							X			X			X												
til	X										X			X																																												X			X												
extension																																																																									
52																				X																																																					
meetings																												X																																		X											
most																	X	X			X												X				X																																				
probably	X												X																				X				X																																				
after	X										X						X	X																																								X			X												
four																				X																																																					
rosemary																																																																									
morgan																																																																									
jorday																																																																									
anyone	X	X							X																			X					X				X																																				
discussed																												X																																													
best																	X	X				X	X																										X		X	X	X																				
practices																X																																	X		X					X						X											
starters																																																										X			X												
allow																																	X		X														X			X																					
anybody	X	X							X																			X					X				X																																				
install																																																																									
brought																X																																							X			X	X														
liability																						X		X									X			X													X					X																			
unlicensed																																																																									
avoid																						X		X	X																								X					X																			
might	X											X				X																	X				X																				X																
aware																																	X	X																																							
policies																																																	X			X										X											
current																																																								X		X			X												
address																																																																X									
rosemaryttrzinenet																																																																									
sign																																																																									
under	X										X																																						X			X						X		X													
runderscoremorgan																																																																									
we like																X						X	X																																																		
attachment																																																																									
arent	X											X			X	X																	X						X																	X																	
expecting																																	X			X																					X																
lots																					X												X				X																																				
viruses																																																																									
worms																																																																									
around	X										X		X																																													X		X													
emails																												X																																													
seem																X																	X	X			X																			X																	
werent	X											X			X	X																	X						X																X																		
person																												X																																													
listed																																																																									
sender																												X																														X	X														
message																												X																					X	X																							
heard																X												X												X		X													X																		
policy																																																	X			X										X											
change																																	X		X																							X	X														
every																					X												X					X																																			
ninety																				X																																																					
only	X												X																																																												
weeks																																																										X			X												
wait																X																																								X		X			X												
rest																																																																									
passwords																																																																									
easy																	X					X	X																																																		
consists																																																																									
letters																																																																									
fix																																																																									
daughters																												X	X		X																																										
nameannette																																																																									
choose																																	X	X																																							
based																X																	X		X																																						
family																												X	X																				X	X													X	X									
each																					X																																																				
add																					X																												X				X			X																	
march																																																										X															
comfortable																	X					X	X																																																		
annettethree																																																																									
walk																X																																								X		X	X														
makethe																																																																									
antivirus																																																																									
important																						X	X																										X			X																					
disable																																																																									
automatic																																																																									
update																																																										X			X												
slows																X																																								X		X	X		X												
once																				X																																						X			X												
wrote																X																																							X							X											
carefully																																																	X					X																			
went																X																																							X			X	X														
pleased																						X	X																																																		
felt																X																	X	X						X			X												X																		
anthony																																																																									
cable																																																																									
splicer																																																																									
box																																																																									
fried																																																																									
fire																																								X			X																														
cops																																																	X			X																					
creep																																																																									
burn																																								X			X																														
own																																																																									
house																																																																X									
insurance																																																																	X								
alone																	X					X		X			X																																														
rewire																																																																									
entire																					X												X					X																																			
hundredpair																				X																																																					
facilities																																																																									
6723																				X																																																					
south																																																										X		X													
main																																																																									
electron																																																																									
city																																																										X		X													
ted																																																																									
adam																																																																									
nights																																																										X			X												
talking																X												X																																													
sales																																																																	X								
decided																X																	X	X																					X																		
plan																																																	X		X						X																
forgot																X																																							X																		
night																																																										X			X												
shift																																																																									
william																																																																									
tall																	X																																									X		X													
kind of																																	X				X																																				
skinny																	X																																																								
hadley																																																																									
hadle																																																																									
y																																																																									
whens																																																																									
evening																																																										X			X												
five																				X																																																					
katie																																																																									
west																																																										X		X													
girard																																																																									
store																																																																	X								
slow																	X																																									X	X		X												
came																X																																							X			X	X														
onecent																																																																									
program																																																														X											
sold																X																																							X										X								
those	X	X							X																																																																
phones																												X												X		X																															
stack																																																																									
passed																X																																							X			X	X														
signed																																																																									
contract																																																																									
checked																																																																									
damned																						X		X		X																																										X	X				
inventory																																																														X											
sell																X																																								X									X								
cent																																																																	X								
write																X																																								X						X											
receipt																																																																									
yancy																																																																									
marie																																																																									
transportation																																																										X	X														
didi																																																																									
buildingor																																																																									
sands																																								X			X																														
iforgot																																																																									
moment																																																										X			X												
inlakeview																																																																									
place																																																										X		X													
pause																																																																									
805																				X																																																					
555																				X																																																					
6469																				X																																																					
receivable																												X																														X	X		X												
peggy																																																																									
thousand																				X																																																					
oaks																																																																									
ya	X	X	X			X																						X																																								X		X			
excellent																						X	X																										X		X											X											
cost																																																																	X								
particular																	X	X																																																							
youd	X	X	X			X						X				X												X																																													
ahold																																																																									
budget																																																																	X								
analyst																																	X	X																												X											
whod	X	X							X			X				X												X																																													
headquarters																																																																									
proper																																																																									
yall	X	X	X			X																						X																																													
texas																																																																									
complete																																	X					X																																			
digits																																																																									
example																																																																									
9wc																																																																									
sat																X																																							X			X			X												
usually	X												X																				X				X																					X			X												
headquartersthousand																																																																									
heres	X												X			X																																								X																	
1a																																																																									
5n																																																																									
nlike																																																																									
nancy																																																																									
britney																																																																									
simon																																																																									
estate																																																																									
reason																																	X	X	X																																						
conducted																																																																									
upgrade																																																																									
badging																																																																									
suffered																X						X		X			X																												X																		
widespread																																																																									
corruption																																																																									
sorted																																																																									
500																				X																																																					
flagged																																																																									
leading																																	X		X														X		X	X						X	X			X											
issues																																																																									
badges																																																																									
tasked																																																																									
remediated																																																																									
quickly																																																										X	X		X												
possible																																	X				X																																				
havent	X											X			X	X																	X						X																	X																	
badge																																																																									
um																																																																				X				X	
printer																																																																									
alright																						X	X																																													X			X		
interesting																						X	X																																																		
figure																																	X	X																																							
removed																																																										X	X														
bear																																																																									
attached																																																																									
quick																																																										X			X												
accurate																																	X					X																																			
showing																																								X	X																																
benefit																						X	X																										X				X																				
contracting																																																																									
correct																																	X					X																																			
janedoefunstuffcom																																																																									
jane																																																																									
dotdoefundotstuffdotcom																																																																									
uhhuh																																																																				X			X		
reach																																																																									
8887779911																				X																																																					
123457																				X																																																					
hmmm																																																																				X		X		X	
times																																																										X			X												
lunch																																												X				X																									
twice																				X																																																					
elses																																																																									
tied																																																																									
reset																																																																									
ensure																																																																									
physical																	X																											X		X																											
laughs																						X	X																	X		X																															
man																												X				X																																									
such	X												X																																																												
laughing																						X	X																	X		X																															
toook																																																																									
wiped																																																																									
1234567																				X																																																					
conducting																																																																									
actual																																																																									
direct																																																										X		X													
perform																																																														X											
ahead	X										X																																						X		X						X	X			X												
8777771111																				X																																																					
almost	X												X																				X				X																																				
completed																																	X					X																	X																		
prompting																																																																									
0123																				X																																																					
1234																				X																																																					
goodness																						X	X																																																		
glad																	X					X	X																																																		
caught																X																																							X			X	X														
definitely	X												X									X	X										X					X																																			
seconds																																																										X			X												
alrighty																						X	X																																													X			X		
bye																												X																														X			X												
comcast																																																																									
comcastnet																																																																									
contacting																																																																									
live																X																												X		X										X																	
chat																												X																					X	X													X										
jerome25550																																																																									
happy																	X					X	X																																																		
assist																																																																									
concern																																																	X					X																			
identification																																	X	X																																							
x																																																																									
xxxxx																																																																									
xxxxxxxx																																																																									
xxx																																																																									
xx																																																																									
provide																												X																												X																	
4																				X																																																					
issue																																																																									
lisayoung																																																																									
lisa																																																																									
yong																																																																									
must	X											X				X																	X			X		X																																			
error																																																																									
melissa																																																																									
details																																																																									
logged																																																																									
however	X												X	X																			X						X																																		
create																X						X	X										X		X														X		X																						
computergenerated																																																														X											
logging																																																																									
link																																	X	X																								X		X													
httpslogincomcastnetloginsportalcontinuehttp3a2f2fmailcentercomcastnet																																																																									
changing																																	X		X																							X	X														
log																																																																									
used																X																	X		X																				X																		
wed																												X																														X			X												
apr																																																																									
9																				X																																																					
183735																				X																																																					
edt																																																																									
2008melissa																																																																									
xxxxxwed																																																																									
183746																				X																																																					
2008																				X																																																					
183751																				X																																																					
regard																																																																									
local																																																										X		X													
1800comcast																																																																									
transfer																																																										X	X			X											
installed																																																																									
apartment																																																																X									
seems																X																	X	X			X																			X																	
encountered																																																																									
welcome																						X	X					X																					X	X																							
pleasure																						X	X																																																		
assistance																																																														X											
future																																																									X	X			X												
available																																																																									
24																				X																																																					
offers																												X																																													
faq																																																																									
forums																																																																									
located																																																										X		X													
wwwcomcastcom																																																																									
resolution																																	X	X																																							
independently																																	X		X																																						
value																						X	X																																																		
answering																																	X	X																																							
online																																																																									
gather																												X																					X	X																							
suggestion																												X																																													
recommendation																												X																																													
advance																																																	X		X		X					X	X														
accomplishing																																																	X		X											X											
comcastic																																																																									
closed																																																										X		X													
hithis																																																																									
tom																																																																									
parkhurst																																																																									
travel																X																																								X		X	X				X										
tickets																																																															X										
san																																																																									
francisco																																																																									
peter																																																																									
abels																																																																									
trips																X																																										X	X														
mixup																																																																									
arrangements																																																																									
wrong																	X					X		X																									X					X																			
delay																																																										X			X												
bookkeeping																																																														X	X										
eddie																																																																									
martin																																																																									
troubleshoot																						X		X																									X					X																			
